ITEM,CÓDIGO,DESCRIÇÃO,FONTE,UND,QUANTIDADE,"PREÇO UNITÁRIO R$","PREÇO TOTAL R$"
1,SERVIÇOS PRELIMINARES,,,,,,"R$ 602.564,73"
1.1,103689,FORNECIMENTO E INSTALAÇÃO DE PLACA DE OBRA COM CHAPA GALVANIZADA E ESTRUTURA DE MADEIRA. AF_03/2022_PS,SINAPI,M2,"6,48","R$ 463,39","R$ 3.002,77"
1.2,98459,TAPUME COM TELHA METÁLICA. AF_03/2024,SINAPI,M2,"616,00","R$ 90,39","R$ 55.680,24"
1.3,101509,"ENTRADA DE ENERGIA ELÉTRICA, AÉREA, TRIFÁSICA, COM CAIXA DE EMBUTIR, CABO DE 10 MM2 E DISJUNTOR DIN 50A (NÃO INCLUSO O POSTE DE CONCRETO). AF_07/2020",SINAPI,UN,"1,00","R$ 2.112,33","R$ 2.112,33"
1.4,FNDE 03,LIGAÇÃO PROVISÓRIA DE ÁGUA E ESGOTO,PRÓPRIA,UN,"1,00","R$ 3.070,37","R$ 3.070,37"
1.5,99059,"LOCAÇÃO CONVENCIONAL DE OBRA, UTILIZANDO GABARITO DE TÁBUAS CORRIDAS PONTALETADAS A CADA 2,00M - 2 UTILIZAÇÕES. AF_03/2024",SINAPI,M,"650,49","R$ 66,77","R$ 43.433,22"
1.6,98525,"LIMPEZA MECANIZADA DE CAMADA VEGETAL, VEGETAÇÃO E PEQUENAS ÁRVORES (DIÂMETRO DE TRONCO MENOR QUE 0,20 M), COM TRATOR DE ESTEIRAS. AF_03/2024",SINAPI,M2,"4.800,00","R$ 0,66","R$ 3.168,00"
1.7,FNDE 241,ADMINISTRAÇÃO LOCAL - 9 E 5 SALAS,PRÓPRIA,UN,"1,00","R$ 430.354,44","R$ 430.354,44"
1.8,FNDE 230,"LOCACAO DE CONTAINER 2,30 X 6,00 M, ALT. 2,50 M, PARA ESCRITORIO, SEM DIVISORIAS INTERNAS E SEM SANITARIO (NAO INCLUI MOBILIZACAO/DESMOBILIZACAO)",PRÓPRIA,MÊS,"12,00","R$ 1.371,34","R$ 16.456,08"
1.9,FNDE 231,"LOCACAO DE CONTAINER 2,30 X 6,00 M, ALT. 2,50 M, COM 1 SANITARIO, PARA ESCRITORIO, COMPLETO, SEM DIVISORIAS INTERNAS (NAO INCLUI MOBILIZACAO/DESMOBILIZACAO)",PRÓPRIA,MÊS,"12,00","R$ 1.699,47","R$ 20.393,64"
1.10,FNDE 232,"LOCACAO DE CONTAINER 2,30 X 6,00 M, ALT. 2,50 M, PARA SANITARIO, COM 4 BACIAS, 8 CHUVEIROS,1 LAVATORIO E 1 MICTORIO (NAO INCLUI MOBILIZACAO/DESMOBILIZACAO)",PRÓPRIA,MÊS,"12,00","R$ 2.074,47","R$ 24.893,64"
2,MOVIMENTO DE TERRA PARA FUNDAÇÕES,,,,,,"R$ 53.827,75"
2.1,EDIFICAÇÃO,,,,,,"R$ 43.059,77"
2.1.1,96521,ESCAVAÇÃO MECANIZADA PARA BLOCO DE COROAMENTO OU SAPATA COM RETROESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,SINAPI,M3,"196,39","R$ 41,33","R$ 8.116,80"
2.1.2,94318,"ATERRO MECANIZADO DE VALA COM RETROESCAVADEIRA (CAPACIDADE DA CAÇAMBA DA RETRO: 0,26 M³ / POTÊNCIA: 88 HP), LARGURA ATÉ 1,5 M, PROFUNDIDADE DE 1,5 A 3,0 M, COM SOLO ARGILO-ARENOSO. AF_08/2023",SINAPI,M3,"229,63","R$ 63,99","R$ 14.694,02"
2.1.3,96525,ESCAVAÇÃO MECANIZADA PARA VIGA BALDRAME OU SAPATA CORRIDA COM MINI-ESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,SINAPI,M3,"276,35","R$ 55,46","R$ 15.326,37"
2.1.4,101617,"PREPARO DE FUNDO DE VALA COM LARGURA MAIOR OU IGUAL A 1,5 M E MENOR QUE 2,5 M (ACERTO DO SOLO NATURAL). AF_08/2020",SINAPI,M2,"279,12","R$ 3,47","R$ 968,55"
